YEAR,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2017,686734.57,676620.5,2333849.13
2018,153595.9,153652.92,519526.19
2019,960191.2,957562.4,3543371.23
2020,360377.7,346132.81,1385009.73
